 ,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.766,20.934,2.437,1.042,0.936,49.883,0.998,1.113,0.898,1.004
2,0.689,22.870,8.654,1.050,0.836,37.256,0.962,1.255,0.797,0.991
3,0.402,26.687,7.984,0.821,0.624,118.783,0.953,1.316,0.760,1.000
4,0.485,9.239,7.397,0.869,0.711,111.160,0.974,1.222,0.818,1.000
5,0.460,8.401,8.208,0.843,0.694,130.112,0.995,1.215,0.823,1.007
6,0.275,9.827,14.868,0.838,0.417,43.448,0.818,2.008,0.498,1.000
7,0.689,11.648,13.662,1.227,0.715,153.132,0.868,1.716,0.583,0.991
8,0.721,18.910,17.205,0.984,0.934,113.908,0.993,1.053,0.950,1.004
9,0.555,25.578,14.522,0.874,0.809,116.581,0.998,1.080,0.926,1.012
10,0.204,26.497,19.191,0.543,0.479,101.844,0.973,1.132,0.884,1.016
11,0.619,23.944,20.315,0.908,0.868,34.677,0.981,1.046,0.956,1.010
12,0.472,2.597,21.333,0.789,0.762,90.000,1.000,1.035,0.966,1.007
13,0.166,16.982,27.025,0.757,0.279,117.473,0.696,2.709,0.369,1.000
14,0.243,20.166,27.544,1.109,0.279,38.928,0.518,3.982,0.251,1.013
15,0.466,10.902,27.089,0.791,0.750,103.329,1.000,1.054,0.949,1.014
16,0.192,9.607,28.567,0.588,0.415,164.710,0.970,1.416,0.706,1.034
17,0.358,9.508,30.664,0.676,0.673,0.000,0.962,1.005,0.995,1.009
18,0.153,10.430,32.776,0.522,0.374,117.949,0.998,1.395,0.717,0.980
19,0.338,8.639,37.421,0.724,0.595,121.050,0.995,1.218,0.821,1.010
20,0.249,18.507,37.204,0.590,0.538,134.998,1.000,1.097,0.912,1.013
